NAMC_CODE,NAMC_term,NAMC _term_diacritical,Matched_IndexTerm,short_definition,long_definition,TM2 Code,Similarity_Score
AAB-1,ATIPRALAPAH (KEVALAVATA),atipralāpaḥ (kēvalavāta),(a) atipralāpaḥ (b) Caṉṉi nōy (c) Hadhayān,delirium in excess (due only to vātadōṣa) ,"the disorder is characterized by asambaddhavācanam [incoherent speech], nirarthakavācanam [meaningless/nonsensical speech] ",SQ00,85.5
AAB-2,ANAVASTHITACITTATVAM (KEVALAVATA),anavasthitacittatvam (kēvalavāta),(a) anavasthitacittatvam (c) Ikhtlāṭ al-Dhahn,unstable state of mind (due only to vātadōṣa) , ,SQ05,71.69811320754717
AAB-6,ARDITAH (KEVALAVATA),arditaḥ (kēvalavāta),(a) arditaḥ (b) Uraka vātam (c) Laqwa,facial paralysis (due only to vātadōṣa) , ,SK20,85.5
AAB-7,ARASAJNATA (KEVALAVATA),arasajñatā (kēvalavāta),(a) arasajñatā (b) Cuvaiyiṉmai nōy (c) Buṭlān al-Dhawq,ageusia (due only to vātadōṣa) , ,SM1P,85.5
AAB-8,ASABDASRAVANAM (KEVALAVATA),aśabdaśravaṇam (kēvalavāta),(a) aśabdaśravaṇam,tinnitus (due only to vātadōṣa) , ,SK86,85.5
AAB-9,ASVAPNAH (KEVALAVATA),asvapnaḥ (kēvalavāta),(a) asvapnaḥ,insomnia (due only to vātadōṣa) , ,SQ24,85.5
AAB-17,UDAVARTAH (KEVALAVATA),udāvartaḥ (kēvalavāta),(a) udāvartaḥ (b) Calastampa vātam (c) Qūlanj Iltiwā’ī,obstipation (due only to vātadōṣa) , ,SM35,85.5
AAB-23,KARNASULAH (KEVALAVATA),karṇaśūlaḥ (kēvalavāta),(a) karṇaśūlaḥ (b) Karṉāvarttam nōkkāṭu (c) Waja‘ al-Udhun,earache/otalgia (due only to vātadōṣa) , ,SK87,85.5
AAB-27,KARSHNYAM (KEVALAVATA),kārṣṇyam (kēvalavāta),(a) kārṣṇyam (b) Valli Nhooyaallar Utal Nhirram (c) Fasād al-Lawn,blackish discoloration (due only to vātadōṣa) , ,SN41,85.5
AAB-29,KARSYAM (KEVALAVATA),kārśyam (kēvalavāta),(a) kārśyam (b) Asvatampa vātam (c) Huzāl,emaciation (due only to vātadōṣa) , ,SP61,85.5
AAB-33,GRIVASTAMBAH/GRIVAHUNDANAM (KEVALAVATA),grīvāstambhaḥ/grīvāhuṇḍanam (kēvalavāta),(a) grīvāhuṇḍanam,neck stiffness/torticollis/spasmodic torticollois (due only to vātadōṣa) , ,SK52,74.11764705882352
AAB-41,JRUMBA (KEVALAVATA),jr̥mbhā (kēvalavāta),(a) jr̥mbhā (b) Koṭṭāvi (c) Kathra al-Tathā’ub,morbid yawning/oscitation (due only to vātadōṣa) , ,SP95,85.5
AAB-42,TAMAH (KEVALAVATA),tamaḥ (kēvalavāta),(a) tamaḥ,fainting/syncope (due only to vātadōṣa) , ,SP98,85.5
AAB-43,TIMIRAH (KEVALAVATA),timiraḥ (kēvalavāta),(a) timiraḥ,partial or total blindness/amaurosis/ametropia/partial obstruction of vision (due only to vātadōṣa) , ,SK65,85.5
AAB-46,DANDAKAH (KEVALAVATA),daṇḍakaḥ (kēvalavāta),(a) daṇḍakaḥ,tonic convulsion (due only to vātadōṣa) , ,SK30,85.5
AAB-47,DANTABEDAH (KEVALAVATA),dantabhēdaḥ (kēvalavāta),(a) dantabhedaḥ,odontalgia/tooth fracture (due only to vātadōṣa) , ,SM1A,76.6551724137931
AAB-49,NAKHABEDAH (KEVALAVATA),nakhabhēdaḥ (kēvalavāta),nan,brittle nail (due only to vātadōṣa) , ,nan,72.0
AAB-51,NIRAMAVATAH,nirāmavātaḥ,(a) pittāvṛtaprāṇavātaḥ,vitiation of vāta without association of āma (undigested material) , ,SR20,72.0
AAB-52,PAKSHAGHATAH/PAKSHAVADHAH (KEVALAVATA),pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta),(a) pakṣavadhaḥ,hemiplegia/hemiparesis (due only to vātadōṣa) , ,SK22,72.34615384615384
AAB-56,PADASUPTATA (KEVALAVATA),pādasuptatā (kēvalavāta),(a) pādasuptatā,numbness of foot (due only to vātadōṣa) , ,SP45,85.5
AAB-57,PARUSHYAM (KEVALAVATA),pāruṣyam (kēvalavāta),(a) pāruṣyam (b) Vīkkam (c) Taqashshuf al-Jild,roughness (due only to vātadōṣa) , ,SN4R,85.5
AAB-62,PRALAPAKAH (KEVALAVATA),pralāpakaḥ (kēvalavāta),(a) pralāpakaḥ,delirium (due only to vātadōṣa) , ,SQ00,85.5
AAB-69,MUKATVAM (KEVALAVATA),mūkatvam (kēvalavāta),(a) mūkatvam (c) Inqiṭā‘ al-Ṣawt,dumbness/aphasia (due only to vātadōṣa) , ,SL07,85.5
AAB-71,BRAMAH (KEVALAVATA),bhramaḥ (kēvalavāta),(a) bhramaḥ (b) Aẕal kiṟukiṟuppu (c) Sadr-o-Duwār,giddiness (due only to vātadōṣa) , ,SK10,85.5
AAB-75,MUTRANIGRAHAH (KEVALAVATA),mūtranigrahaḥ (kēvalavāta),(a) mūtranigrahaḥ (b) Nīrkkaṭṭu (c) Iḥtibās al-Bawl,anuria/uroschesis (due only to vātadōṣa) , ,SM81,85.5
AAB-77,RAUKSHYAM (KEVALAVATA),raukṣyam (kēvalavāta),(a) raukṣyam (b) Tōl vaṟaṭci (c) Shuqūq al-Aṭrāf wa’l Wajh,dryness (due only to vātadōṣa) , ,SN42,85.5
AAB-81,VARTMASTAMBAH (KEVALAVATA),vartmastambhaḥ (kēvalavāta),(a) stambhaḥ,ptosis/stiff eyelid (due only to vātadōṣa) , ,SK52,73.28571428571429
AAB-85,VAK-SANGAH (KEVALAVATA),vāk-saṅgaḥ (kēvalavāta),(a) vāk-saṅgaḥ (b) Patita vātam (c) Loknat-e zabAn (c) Luknat,lalling speech (due only to vātadōṣa) , ,SK53,85.5
AAB-89,VID-BEDAH (KEVALAVATA),viḍ-bhēdaḥ (kēvalavāta),(a) viḍ-bhedaḥ,diarrhoea due only to vāta (due only to vātadōṣa) , ,SM37,76.0
AAB-91,VISHADAH/DINATA (KEVALAVATA),viṣādaḥ/dīnatā (kēvalavāta),(a) viṣādaḥ,depression/apathy (due only to vātadōṣa) , ,SQ04,77.72727272727272
AAB-96,SIRORUK (KEVALAVATA),śirōruk (kēvalavāta),(a) śiroruk,headache/cephalgia/cephalalgia (due only to vātadōṣa) , ,SK00,73.28571428571429
AAB-97,SUKRAKSHAYAH (KEVALAVATA),śukrakṣayaḥ (kēvalavāta),(a) śukrakṣayaḥ (b) Āṇ malaṭu (c) Qilla al-Manī,oligospermia (due only to vātadōṣa) , ,SN03,85.5
AAB-99,SEPASTAMBAH (KEVALAVATA),śēphastambhaḥ (kēvalavāta),(a) stambhaḥ,priapism (due only to vātadōṣa) , ,SK52,73.28571428571429
AAB-106,SARVANGAROGAH/SARVANGAVATAH (KEVALAVATA),sarvāṅgarōgaḥ/sarvāṅgavātaḥ (kēvalavāta),(a) sarvāṅgarogaḥ,total body paralysis/quadriplegia (due only to vātadōṣa) , ,SK22,75.44117647058823
AAB-107,STAMBAH (KEVALAVATA),stambhaḥ (kēvalavāta),(a) stambhaḥ,stiffness/rigidity/spasticity (due only to vātadōṣa) , ,SK52,85.5
AAB-109,HIKKA (KEVALAVATA),hikkā (kēvalavāta),(a) hikkā (b) Vikkal nōy (c) Fuwāq,hiccup/singultus (due only to vātadōṣa) , ,SM74,85.5
AAB-112,GRIVAHUNDANAM,grīvāhuṇḍanam,(a) grīvāhuṇḍanam,tremor neck , ,SK52,95.0
AAC-1,ANTARAYAMAH,antarāyāmaḥ,(a) antarāyāmaḥ,emprosthotonous ,"the disorder is characterized by kaphavamanam/kaphōdvamam [vomiting of phlegm], viṣṭabdhākṣaḥ [starring gaze], stabdhahanūḥ/hanugrahaḥ [lock jaw/stiff jaw], bhagnapārśvaḥ [breaking type of pain ribs/flanks], dhanuriva ābhyantaranamanam [ventral (internal) bending of body as a bow], antarāyamyatē grīvā/jatruḥ āyamyatē [internal bending of neck], manyāstambhaḥ [torticollis/stiffness of neck], dantānāṁ daṁśanam/daśanānāṁ daśanam [gnashes-grind one's teeth], lālāsrāvaḥ [salivation], pr̥ṣṭhāyāmaḥ [stretching of back], śirōgrahaḥ [stiffness of head], jr̥mbhā [yawning], vadanasaṅgaḥ [stiffness of mouth], nētrastambhaḥ [lack of eye movements/fixed eyes], vākyagrahaḥ [difficulty in speaking/aphasia], pr̥ṣṭhagrahaḥ [stiffness of back] ",SK30,95.0
AAC-2,APATANTRAKAH,apatantrakaḥ,(a) apatantrakaḥ,convulsive fit ,"the disorder is characterized by dhanuriva namanam/dhanurvadgātranamanam/aṅganamanam [body bends like a bow], gātrākṣēpaḥ/aṅgākṣēpaḥ [convulsive movements of body], mōhaḥ [confusion/delirium], kucchrāducchvasanam/ucchvāsanirōdhaḥ/nirucchvāsaḥ [difficulty in expiration/laborious breathing], stabdhākṣaḥ [fixed/staring eyes], nimīlakaḥ/nimīlitākṣiḥ [shutting the eyes], kapōta iva kūjanam [cooing like a pigeon], niḥsaṁjñaḥ/naṣṭacētaḥ [frequent fainting/unconsciousness], śaṅkhapīḍā [pain in the temporal region of head/temples], śiraḥpīḍā [pain in the head/headache], hr̥dayapīḍā [pain in the pericordial region/angina pectoris], niścēṣṭaḥ [loss of movement], srastadr̥ṣṭiḥ [sunken eyes/downward gaze] ",SK30,95.0
AAC-2.1,ASADHYA-APATANTRAKAH,asādhya-apatantrakaḥ,(a) apatantrakaḥ,intractable convulsive fit ,"the disorder is characterized by garbhapātasamutpannaḥ [caused by miscarriage], śōṇitātisravōtthitaḥ [caused by excessive bleeding/heamorrhage], abhighātasamutthaḥ [caused by trauma] ",SK30,72.22222222222221
AAC-3,APATANAKAH,apatānakaḥ,(a) apatānakaḥ,orthotonos ,"the disorder is characterized by dr̥ṣṭistambhaḥ [fixed eyes/gaze], saṁjñāhāniḥ [loss of conciousness], kaṇṭhēna kūjati [cooing sound from throat], vr̥tē punarmōhaṁ yāti [faints again and again], hr̥di muktē svāsthyaṁ yāti [regains conciousness after a while due to the recovery], saṁstarēṣu prētānāṁ jalamapi diśati [offers water to the ancestral souls/ritual arrangements for sacrifice for spirits of dead persons] ",SK30,95.0
AAC-4,ARDITAH,arditaḥ,(a) arditaḥ (b) Uraka vātam (c) Laqwa,facial paralysis ,"the disorder is characterized by bāhusaṅkōcaḥ [contraction of arms], pādasaṅkōcaḥ [contraction of legs], jānusaṅkōcaḥ [contraction of knees], jihma-ardhamukham [lateral deviation of mouth], nāsāvakratā [deviation of nose], bhrūvakratā [deviation of eyebrow], lalāṭavakratā [deviation of forehead], akṣivakratā/īkṣitavakratā [slight/deviation of eye], hanuvakratā [deviation of jaw], āsyē bhōjanaṁ vakraṁ vrajati [unable to put food bolus properly in mouth/difficulty in eating], vakranāsikā [deviation of nose], kathayataḥ nētrastabdhatā [ocassional inactivity of eyes], kṣavathunigrahaḥ/kṣavagrahaḥ [supression of sneezing/holding sneezing], dīnā vāk/vāksaṅgaḥ [speech affliction /dysphasia], jihmā vāk [distorted/sluggish speech], dantacālanam [loosening of teeth], śravaṇabādhā [hearing impairment], svarabhēdaḥ/svarabhraṁśaḥ [hoarseness of voice/loss of voice], pādarujā [leg pain], hastarujā [pain in hands], akṣirujā [pain in eyes], jaṅghārujā [pain in calf muscles], ūrurujā [pain in thighs], śaṅgharujā [pain in temporal part of head], śravaṇarujā [pain in ear/otalgia], gaṇḍarujā [pain in side of face including temple], vaktrārthavakratā [distorted speech], uktavakratā [ambiguity in spoken words], hasitavakratā [deviation of mouth on laughing], mūrdhākampaḥ [shaking of head], stabdhanētratā [staring look], śrutihāniḥ [hearing impairment/loss], gandhājñānam [impairment in sense of smelling], smr̥timōhaḥ [memory impairment], suptasya trāsaḥ [fear on sleep/fearful look on sleep], niṣṭhīvaḥ pārśvatō yāyāt [spitting on laterally/salivation from angle of mouth], ēkākṣinimīlanam [shutting of one eye/closed one eye], jatrūrdhvatīvrarujā [sharp pain in body above collar bone/severe pain in head and neck region], śarīrārdhē adharē vā bādhanam [afflicting half of the body (vertical/saggital or transverse] ",SK20,90.0
AAC-6,ASTHISOSHAH,asthiśōṣaḥ,(a) asthiśoṣaḥ (c) Wahn al-‘Iẓām,osteopenia/osteoporosis , ,SP00,81.0
AAC-7,VATASHTHILA,vātāṣṭhīlā,(a) vātāṣṭhīlā (c) Iẓam-i-Ghudda'-i-Madhī,prostatic enlargement ,"the disorder is characterized by vastyādhmānaḥ [distention of urinary bladder], gudādhmānaḥ [distension in the rectum], mūtramārgarōdhaḥ [obstruction in passage of urine], viṇmārgarōdhaḥ [obstruction in passage of feces], tīvrārtiḥ [severe pain], bahirmārgāvarōdhaḥ [obstruction to passage of flatus, urine and fecal matter], aṣṭhīlāvadghanaṁ granthiḥ [stony hard globular swelling/gland below navel], urdhva-āyata-unnatagranthiḥ [upwardly extended prominent gland in navel] ",SN08,90.0
AAC-8,AVABAHUKAH,avabāhukaḥ,(a) avabāhukaḥ (b) Kumpa vātam (c) Waja‘-i-Mafṣal-i-Katif,frozen shoulder ,"the disorder is characterized by aṁsabandhanaśōṣaḥ [atrophy of the structure binding the shoulder joints/wasting of shoulder region], sirākuñcanam [contraction of ligaments], bāhupraspandanaharaṇam [inhibition of movements of upperlimb] ",SP15,90.0
AAC-9.2,ASADHYA-URUSTAMBAH,asādhya-ūrustambhaḥ,(a) asādhya-ūrustambhaḥ,intractable stiff-thigh ,"the disorder is characterized by dāhaḥ [burning sensation], artiḥ [pain], tōdārtaḥ [pricking pain], vēpanaḥ [shivering/tremors] ",SK55,95.0
AAC-11,AKSHEPAKAH,ākṣēpakaḥ,(a) ākṣepakaḥ (b) Vaḷippu (c) Tashannuj,clonic convulsion ,"the disorder is characterized by gātrāṇi muhuḥ ākṣipati [sudden movements of limbs], pāṇi śōṣaḥ [wasting of hands], pāda śōṣaḥ [wasting of feet], sirā śōṣaḥ [wasting of blood vessels], snāyu śōṣaḥ [wasting of muscles], kaṇḍarā śōṣaḥ [wasting of tendons] ",SK30,80.0
AAC-12,ADHMANAM,ādhmānam,(a) ādhmānam (b) Mantam (c) Nafkh al-Mi‘da,distension/tympanites/meteorism ,"the disorder is characterized by āṭōpaḥ [gurgling sound of the intestines/barborygmus], atyugrarujā [excessive pain], udarādhmānam [abdominal distention], vātanirōdhaḥ [obstruction of flatus] ",SM31,90.0
AAC-12.1,PRATYADHMANAH/PRATYANAHAH,pratyādhmānaḥ/pratyānāhaḥ,"(a) pratyādhmānaḥ, (a) pratyānāhaḥ",tympanites/meteorism ,"the disorder is characterized by āmāśayōtthitādhmānam [ādhmāna originated from amaśaya], āṭōpaḥ [gurgling sound of the intestines/barborygmus], atyugrarujā [excessive pain], udarādhmānam [distention of abdomen], vātanirōdhaḥ [obstruction of flatus] ",SM31,82.9090909090909
AAC-12.4,VIBANDHA,vibandha,(a) vibandha (b) Malakkaṭṭu (c) Qabḍ,simple constipation,nan,SM34,90.0
AAC-13,BAHIRAYAMAH/BAHYAYAMAH/DHANUHSTAMBAH,bahirāyāmaḥ/bāhyāyāmaḥ/dhanuḥstambhaḥ,(a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ,opisthotonus ,"the disorder is characterized by pr̥ṣṭhatō nīyatē śiraḥ [backward bending of head], ura utkṣipyatē [raising up of chest part of body], manyāstambhaḥ [torticollis/stiffness of neck], grīvā avamardanam [bending of neck/neck pain?], dantadaśanam [grinding of teeth/teeth biting], jr̥̄mbhā [yawning], lālāsrāvaḥ [salivation], vāggrahaḥ [chocked voice], jātavēgō nihanti vaikalyaṁ vā prayacchati [confusion/weakness after the attack /episode], vakṣaḥ-kaṭi-ūru bhañjanam [breaking type of pain in chest-back-thigh] ",SK30,85.25641025641025
AAC-13.1,ASADHYADHANUSHKAMPA,asādhyadhanuṣkaṁpa,(a) asādhyadhanuṣkaṃpa,irremediable opisthotonus ,"the disorder is characterized by vivarṇadantaḥ [discoloured teeth], vivarṇavadanaḥ [discoloured face], srastāṅgaḥ [flaccidity/laxity], naṣṭacētanaḥ [loss of conciousness], prasvidyam [excessive perspiration] ",SK30,85.0
AAC-14,URDHVAVATAH,ūrdhvavātaḥ,"(a) ūrdhvavātaḥ (b) Kuṭaṟpiṭippu nōy, ānāka nōy (c) Īlā’ūs",obstruction of vāta in the intestine/reverse peristalsis ,"the disorder is characterized by udgārabāhulyam [excessive belchings/eructation], ",SM75,90.0
AAC-15,EKANGAVATAH,ēkāṅgavātaḥ,(a) sarvāṅgavātaḥ,monoplegia ,"cēṣṭānivr̥tti/akarmaṇyaḥ (kr̥tsnaśarīram/ardhakāyaḥ) [cessation of activity/inability to do movement ( whole body/half body)], rujā [pain], vākstambham [impediment of speech/dysphasia], ēka-pādasaṅkōcaḥ [contraction in one lower limb], ēka-hastasaṅkōcaḥ [contraction in one upper limb], tōdaḥ [pricking pain], śūlam [sharp/acute pain], vicētanaḥ [senseless/unconciousness] ",SK22,81.0
AAC-17,KROSHTUKASIRSHAH,krōṣṭukaśīrṣaḥ,(a) kroṣṭukaśīrṣaḥ,knee synovitis ,"the disorder is characterized by jānumadhyē krōṣṭukaśīrṣavat sthūlaḥ śōphaḥ [big and painful swelling in the knee joint/swelling in knee which appears like jackal head], jānumadhyē mahārujaḥ [severe pain in middle of knee] ",SP10,81.25
AAC-19,KHALLI,khallī,(a) khallī (b) Vaḷi cūlai (c) Tashannuj Īdhā’ī,twisting-pain on limbs ,"the disorder is characterized by pāda-avamōṭanam [cramp in feet], jaṅghā-avamōṭanam [cramp in the calf], ūru-avamōṭanam [cramp in the thigh], karamūla-avamōṭanam [cramp in the wrist], kara-avamōṭanam [cramp in hand] ",SP20,90.0
AAC-20,GRUDHRASI,gr̥dhrasī,(a) gṛdhrasī (c) ‘Irq al-Nasā,sciatia ,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-kṣēpaḥ/sakthi-utkṣēpa [moving to and fro/stretching of thigh], sakthi-nigr̥hṇana [supression/holding down of thighs] ",SP41,70.00000000000001
AAC-21,JIHVASTAMBAH,jihvāstambhaḥ,(a) jihvāstambhaḥ,tongue paralysis ,"the disorder is characterized by annapānēṣu anīśatā [inability in intake (of food and liquids)], vākyēṣu anīśatā [unable to speak] ",SK22,95.0
AAC-22,TUNI,tūnī,(a) pratitūnī,bladder pain radiating towards anus and penis ,"the disorder is characterized by varcō-mūtrāśayōtthitā vēdanā adhō yāti [pain travels down from rectum and urinary bladder], upasthaṁ bhindatīva [tearing sensation in the genitals], gudaṁ bhindatīva [tearing sensation in the anus], tīvrarujā [severe pain in bladder region] ",SM83,90.0
AAC-23,DANDAPATANAKAH,daṇḍāpatānakaḥ,(a) daṇḍāpatānakaḥ,orthotonos with rod like stiffness ,the disorder is characterized by daṇḍavat stambhayati dēham [whole body stiffness like a stick] ,SK30,95.0
AAC-24.3,BALA-PAKSHAGHATAH,bāla-pakṣāghātaḥ,(a) bāla-pakṣāghātaḥ,hemiplegia in children , ,SK22,95.0
AAC-25,PADADAHAH,pādadāhaḥ,(a) marmābhighātajadāhaḥ,burning feet ,the disorder is characterized by pādayōḥ kurutē dāhaṁ (viśēṣataścaṅkramaṇāt) [burning sensation in feet (specially on walking)] ,SM01,72.0
AAC-26,PADAHARSHAH,pādaharṣaḥ,(a) sirāpraharṣaḥ (b) Untu nerical (c) Takaddur Ṭabaqa al-Multaḥima,tingling feet ,"the disorder is characterized by suptakau caraṇau [numbness in the feet], hr̥ṣyētē caraṇau [sensation of excitement/tingling in the feet] ",SK60,72.0
AAC-27,PRATITUNI,pratitūnī,(a) pratitūnī,reverse of ptūnī ,the disorder is characterized by gudōpasthōtthitā pratilōmaṁ pradhāvitā (pratilōmavisarpiṇī) vēdanā [pain arises from the anorectal and penile region and radiates quickly upwards (reverse spreading)] ,SM83,95.0
AAC-29,VRANAYAMAH,vraṇāyāmaḥ,(a) vraṇāyāmaḥ,post-traumatic convulsion , ,SK30,95.0
AAC-30,PANGUH,paṅguḥ,(a) paṅguḥ (c) Fālij Asfal,lameness (bilateral) ,the disorder is characterized by dvayōḥ sakthnōḥ vadhaḥ [paralysis of both lower limbs/thighs] ,SK21,90.0
AAC-31,MINMINAH,minminaḥ,(a) minminaḥ (c) Khunān,nasal voice ,the disorder is characterized by minminatvam (sānunāsikasarvavacanaḥ/sānunāsikavāk) [nasal twang] ,SL21,90.0
AAC-32,MANYASTAMBAH,manyāstambhaḥ,(a) manyāstambhaḥ (b) Puṟa Icivu,stiff neck/torticollis/wry neck ,the disorder is characterized by manyāstambhaḥ [torticollis/stiffness of neck] ,SP44,90.0
AAC-33,MUKATVAM,mūkatvam,(a) mūkatvam (c) Inqiṭā‘ al-Ṣawt,dumbness/aphasia ,the disorder is characterized by mūkatvam (vacanarahitaḥ/avacanaḥ) [dumbness/aphasia] ,SL07,90.0
